NumTrajs,Average latency,,MinReturn,StdReturn,Average reward, ,iteration,AverageReturn,MaxReturn,AverageDiscountedReturn
1000,1093.2493,-11.466942642041822,1.1179434645496968,-0.38753425623580035,0,-7.721849054556231,-4.599115159778793,-7.129320589262388
1000,1093.8403,-11.300661026735344,1.1492278212612728,-0.38724876504936934,1,-7.777384819177161,-4.683556251702532,-7.179105149127601
1000,1095.3376,-11.174603523054992,1.1275947697722564,-0.388197829526339,2,-7.685593461496125,-5.116311563845607,-7.094349444526728
1000,1095.3376,-11.5355369001772,1.1444324605006846,-0.388197829526339,3,-7.766568223535913,-5.091621589822955,-7.171803116059076
1000,1095.3376,-11.508110175424498,1.116209829764946,-0.388197829526339,4,-7.721896038233225,-4.927961096147584,-7.127780443981659
1000,1098.7758,-11.811185741028861,1.10707519409887,-0.3894567510024993,5,-7.690935545837643,-4.82568646828428,-7.10032731363979
1000,1098.7758,-11.493007142106975,1.1440666085888678,-0.3894567510024993,6,-7.731657055500143,-4.790724598202124,-7.138658304979353
1000,1098.7758,-11.589174208423826,1.1143186141387067,-0.3894567510024993,7,-7.689561000840356,-4.768841498785327,-7.100175311453502
1000,1098.7758,-11.505903785844268,1.0904004255833188,-0.3894567510024993,8,-7.663122037827807,-4.66010303424346,-7.074326074101113
1000,1098.7758,-11.1020462600801,1.0895668130145115,-0.3894567510024993,9,-7.708260850102583,-4.928962306797928,-7.116628340056857
